"week_start_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2026-02-09","4512360","1424 Lexington Ave","Top Panini Shop","1424 Lexington Ave  ","New York","NY","10128","1","0",,"0",,"0",,"17.58","0.00","0.00","0.00","17.58","0",,"0",,"0","0","1","00:09:00.000","00:00:00.000","00:13:00.000","00:34:00.000","0","0","0","0","0","0","0"
"2026-02-16","5850288","1st Avenue","Tessa's Fruity Treats","1741 1st Ave.  ","New York","NY","10128","1","0",,"1","1.000","1","1.000","7.69","0.00","-7.69","-7.69","0.00","1","1.000","1","1.000","0","0","1",,,,,"0","0","0","0","0","0","0"
"2026-02-23","10499904","1st Avenue","Lola's Smoothie Mix","937 1st Ave.  ","New York","NY","10022","7","0",,"0",,"0",,"157.97","0.00","0.00","0.00","157.97","4","0.571","7","1.000","0","0","7","00:05:30.000","00:00:42.000","00:07:36.000","00:22:30.000","0","0","0","0","0","0","0"
"2026-02-16","6893368","Fitch's Kitchen - Redondo Beach - 300 The Village","Luigi's Pasta Ristorante","300 The Village  ","Redondo Beach","CA","90277","2","0",,"2","1.000","2","1.000","83.46","0.00","-83.46","-83.46","0.00","0",,"1","0.500","0","0","2",,,,,"0","0","0","0","0","0","0"
"2026-02-02","2460021",,"Jay's Breakfast Bar","4352 E Speedway Blvd ","Tucson","AZ","85712","2","0",,"0",,"0",,"36.96","0.00","0.00","0.00","36.96","0",,"2","1.000","0","0","2","00:01:30.000","00:01:30.000","00:20:30.000","00:50:00.000","0","0","0","0","0","0","0"
"2026-02-02","3344616","501 Broadway St","Linh's Chinese Restaurant","501 Broadway  ","San Francisco","CA","94133","1","0",,"1","1.000","1","1.000","59.46","0.00","-59.46","-59.46","0.00","1","1.000","0",,"0","0","1",,,,,"0","0","0","0","0","0","0"
"2026-02-02","11803360","Castle Hill Ave","Celebrity Vegan Burger","1201 Castle Hill Ave  ","Bronx","NY","10462","1","0",,"1","1.000","1","1.000","33.98","0.00","-33.98","-33.98","0.00","1","1.000","1","1.000","0","0","1",,,,,"0","0","0","0","0","0","0"
"2026-02-23","2710285",,"The Salad God (4th Ave)","59 4th Ave  ","New York","NY","10003","1","0",,"0",,"0",,"24.57","0.00","0.00","0.00","24.57","0",,"1","1.000","0","0","1","00:08:00.000","00:00:00.000","00:12:00.000","00:24:00.000","0","0","0","0","0","0","0"
"2026-02-09","10999320","Sullivan St","Exquisite Bowls","240 Sullivan St  ","New York","NY","10012","2","0",,"0",,"0",,"322.46","0.00","0.00","0.00","322.46","1","0.500","1","0.500","0","0","2","00:14:00.000","00:06:30.000","00:14:00.000","00:32:00.000","0","0","0","0","0","0","0"
"2026-02-23","8570072",,"Carmen's Breakfast Burritos","4352 E Speedway Blvd  ","Tucson","AZ","85712","2","0",,"0",,"0",,"28.98","0.00","0.00","0.00","28.98","1","0.500","2","1.000","0","0","2","00:01:00.000","00:00:30.000","00:28:00.000","00:47:00.000","0","0","0","0","0","0","0"
"2026-02-23","5853656","S Las Posas","The Sandwich Vibe","137 S Las Posas Rd #153  ","San Marcos","CA","92078","1","0",,"0",,"0",,"17.19","0.00","0.00","0.00","17.19","0",,"1","1.000","0","0","1","00:02:00.000","00:02:00.000","00:04:00.000","00:45:00.000","0","0","0","0","0","0","0"
"2026-02-09","2365500",,"The Pancake Snob","257 Gold Street  ","Brooklyn","NY","11201","6","0",,"0",,"0",,"270.62","0.00","0.00","0.00","270.62","3","0.500","3","0.500","0","0","6","00:10:30.000","00:08:48.000","00:09:54.000","00:47:00.000","0","0","0","0","0","0","0"
"2026-02-02","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","5","0",,"0",,"0",,"154.64","0.00","0.00","0.00","154.64","2","0.400","5","1.000","0","0","5","00:01:49.800","00:00:00.000","00:22:00.000","00:37:40.200","0","0","0","0","0","0","0"
"2026-02-16","3312349","Gold St","Doughboys Sandwiches","257 Gold St  ","Brooklyn","NY","11201","5","0",,"0",,"0",,"103.51","0.00","0.00","0.00","103.51","2","0.400","3","0.600","0","0","5","00:03:15.000","00:01:45.000","00:06:00.000","00:25:30.000","1","0","0","1","0","0","0"
"2026-02-23","3309671","E Arapaho Rd #F","Chef Hanoka Sushi","1401 E Arapaho Rd  ","Richardson","TX","75081","1","0",,"0",,"0",,"49.36","0.00","0.00","0.00","49.36","0",,"0",,"0","0","1","00:02:00.000","00:00:00.000","00:48:00.000","01:01:00.000","0","0","0","0","0","0","0"
"2026-02-16","10372072","E Speedway","Breakfast Burrito Joint","4352 E Speedway Blvd  ","Tucson","AZ","85712","12","0",,"0",,"0",,"219.18","0.00","0.00","0.00","219.18","5","0.417","9","0.750","0","0","12","00:01:46.200","00:01:00.000","00:15:14.400","00:35:19.200","0","0","0","0","0","0","0"
"2026-01-26","3310455","Fulton St","The Pancake Flip","1237 Fulton St  ","Brooklyn","NY","11216","4","0",,"0",,"0",,"112.59","0.00","0.00","0.00","112.59","4","1.000","3","0.750","0","0","4","00:09:30.000","00:00:00.000","00:16:30.000","00:37:00.000","0","0","0","0","0","0","0"
"2026-02-09","8563056",,"Nomad's Bagels","433 W 34th St.  ","New York","NY","10001","2","0",,"0",,"0",,"48.93","0.00","0.00","0.00","48.93","1","0.500","2","1.000","0","0","2","00:01:00.000","00:00:00.000","00:02:00.000",,"0","0","0","0","0","0","0"
"2026-01-26","8570048",,"The Muffin Snob","169-03 Jamaica Ave  ","Jamaica","NY","11432","1","0",,"0",,"0",,"15.97","0.00","0.00","0.00","15.97","0",,"1","1.000","0","0","1","00:10:00.000","00:10:00.000","00:22:00.000","00:56:00.000","0","0","0","0","0","0","0"
"2026-02-23","3343893","2755 Broadway","Panini's On Panini's","2755 Broadway  ","New York","NY","10025","1","0",,"0",,"0",,"26.78","0.00","0.00","0.00","26.78","1","1.000","1","1.000","0","0","1","00:02:00.000","00:00:00.000","00:26:00.000","00:33:00.000","0","0","0","0","0","0","0"
"2026-02-09","10372072","E Speedway","Breakfast Burrito Joint","4352 E Speedway Blvd  ","Tucson","AZ","85712","7","0",,"0",,"0",,"127.92","0.00","0.00","0.00","127.92","4","0.571","6","0.857","0","0","7","00:02:30.000","00:01:36.000","00:16:12.000","00:40:12.000","0","0","0","0","0","0","0"
"2026-02-02","3372456","456 Grove St.","Hella Good Chicken Wings","456 Grove St  ","Worcester","MA","01605","2","0",,"0",,"0",,"50.96","0.00","0.00","0.00","50.96","1","0.500","1","0.500","0","0","2","00:07:00.000","00:00:00.000","00:09:30.000","00:23:30.000","1","0","0","1","0","0","0"
"2026-02-23","9832944","1708 Livernois Rd","The Pasta Brothers","1708 Livernois Rd  ","Troy","MI","48083","3","0",,"0",,"0",,"95.80","0.00","0.00","0.00","95.80","2","0.667","3","1.000","0","0","3","00:01:30.000","00:01:30.000","00:19:30.000","00:59:30.000","0","0","0","0","0","0","0"
"2026-02-23","10564920","9th Ave","The Cheeseburger Paradise","468 9th Ave  ","New York","NY","10018","1","0",,"0",,"0",,"14.69","0.00","0.00","0.00","14.69","1","1.000","0",,"0","0","1","00:09:00.000","00:04:00.000","00:16:00.000","00:38:00.000","0","0","0","0","0","0","0"
"2026-02-16","3309992","1st Avenue","La Mexicana Quesadilla","217 1st Ave.  ","New York","NY","10003","1","1","1.000","0",,"0",,"59.95","-18.98","0.00","0.00","40.97","1","1.000","1","1.000","0","0","1","00:10:00.000","00:00:00.000","00:02:00.000","00:20:00.000","0","0","0","0","0","0","0"
"2026-02-09","3310683","George St","The Dessert Dream","228 George St  ","New Brunswick","NJ","08901","1","0",,"0",,"0",,"15.78","0.00","0.00","0.00","15.78","1","1.000","1","1.000","0","0","1","00:00:00.000","00:00:00.000","00:23:00.000","00:31:00.000","0","0","0","0","0","0","0"
