Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,City Light Wraps (1947 E Main St),24704002,1031966,24704002,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,96.36,3.64,642,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,City Light Wraps (5701 Executive Center Dr),26292131,1031966,26292131,6,6,0,0.00,0.00,0,0.00,0,0.00,0.00,0.48,2.14,40.33,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,40.10
2026-02-01,2026-02-28,City Light Wraps (810 N Vallejo),39042491,1031966,39042491,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,City Light Wraps - 800 Forrest St NW,27783266,1031966,27783266,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Classic Cheeseburger Bar,1758531,214825,NULL,14,14,1,7.14,6.82,0,0.00,0,0.00,0.00,2.00,5.76,54.00,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,44.11
2026-02-01,2026-02-28,Classic Cheeseburger Bar (560 E 149th St),33963911,214825,33963911,7,6,1,16.67,5.46,1,14.29,1,14.29,0.00,1.02,3.64,39.83,99.72,0.28,45,NULL,1,NULL,NULL,1,0,0.00,USD,39.78
2026-02-01,2026-02-28,Coffee Crema Snob (769 9th Ave #1),24556167,991906,24556167,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,8.58,45.50,97.9,2.1,846,NULL,1,NULL,NULL,0,0,0.00,USD,45.36
2026-02-01,2026-02-28,Coffee Crema Snob (Canal St),2566101,991906,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Country Southern Diner (1201 Randall Avenue),23693111,11080589,23693111,9,9,0,0.00,0.00,0,0.00,0,0.00,0.00,0.54,3.07,51.89,97.4,2.6,375,NULL,1,NULL,NULL,0,1,100.00,USD,52.07
2026-02-01,2026-02-28,Country Southern Diner (Pennsylvania Ave),23038944,11080589,23038944,11,11,0,0.00,0.00,0,0.00,0,0.00,0.00,2.24,4.74,57.55,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,57.38
